match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp
139,banjo & kazooie,bayonetta,0,2,3,0,3:04,362,455,15898065
140,banjo & kazooie,zelda,0,2,3,0,3:32,267,372,15805001
141,banjo & kazooie,wii fit trainer,0,1,3,0,2:12,169,328,15683356
142,banjo & kazooie,wii fit trainer,0,1,3,0,2:51,216,410,15539059
143,banjo & kazooie,fox,1,3,2,0,3:53,281,309,15658879
144,banjo & kazooie,link,1,3,2,0,4:30,334,465,15773926
145,banjo & kazooie,captain falcon,1,3,2,0,3:44,403,312,15862713
146,banjo & kazooie,mii gunner,1,3,2,0,4:04,394,394,15938951
147,banjo & kazooie,sephiroth,0,0,3,0,1:47,127,254,15871779
148,banjo & kazooie,luigi,1,3,2,0,2:33,275,288,15938951
149,banjo & kazooie,palutena,0,1,2,0,3:00,191,169,15834579
150,banjo & kazooie,cloud,0,2,3,0,3:18,313,417,15730077
151,banjo & kazooie,pyra and mythra,1,3,2,0,5:03,408,365,15824883
152,banjo & kazooie,ness,1,3,2,0,1:09,287,236,15906530
