character,opponent_character,matches,wins,win_rate,avg_damage_given,avg_damage_taken,damage_difference
pit,captain falcon,2,1,0.5,292.0,338.5,-46.5
pit,diddy kong,1,0,0.0,293.0,450.0,-157.0
pit,fox,1,1,1.0,299.0,210.0,89.0
pit,incineroar,3,2,0.6666666666666666,281.6666666666667,294.3333333333333,-12.666666666666629
pit,joker,1,0,0.0,317.0,507.0,-190.0
pit,ken,1,0,0.0,280.0,455.0,-175.0
pit,king dedede,1,1,1.0,403.0,375.0,28.0
pit,kirby,2,2,1.0,328.0,302.0,26.0
pit,link,2,1,0.5,338.0,343.0,-5.0
pit,little mac,1,1,1.0,273.0,275.0,-2.0
pit,lucas,1,0,0.0,215.0,349.0,-134.0
pit,lucina,1,1,1.0,292.0,209.0,83.0
pit,mr game and watch,2,1,0.5,336.5,261.5,75.0
pit,pit,1,0,0.0,254.0,422.0,-168.0
pit,rob,1,1,1.0,391.0,360.0,31.0
pit,steve,2,0,0.0,283.0,428.5,-145.5
toon link,byleth,1,1,1.0,434.0,294.0,140.0
toon link,diddy kong,1,0,0.0,161.0,165.0,-4.0
toon link,falco,1,1,1.0,253.0,279.0,-26.0
toon link,fox,1,0,0.0,215.0,260.0,-45.0
toon link,ganondorf,1,1,1.0,332.0,195.0,137.0
toon link,hero,2,1,0.5,259.0,214.5,44.5
toon link,ike,3,3,1.0,333.0,255.33333333333334,77.66666666666666
toon link,incineroar,1,0,0.0,419.0,473.0,-54.0
toon link,jigglypuff,1,1,1.0,347.0,313.0,34.0
toon link,joker,1,0,0.0,228.0,399.0,-171.0
toon link,king k rool,1,1,1.0,449.0,190.0,259.0
toon link,kirby,1,1,1.0,348.0,339.0,9.0
toon link,lucas,1,1,1.0,374.0,363.0,11.0
toon link,lucina,2,2,1.0,308.0,248.5,59.5
toon link,marth,2,1,0.5,253.5,279.0,-25.5
toon link,ridley,2,1,0.5,313.5,277.0,36.5
toon link,samus,1,1,1.0,294.0,211.0,83.0
toon link,yoshi,1,1,1.0,435.0,315.0,120.0
toon link,zero suit samus,1,1,1.0,215.0,229.0,-14.0
