character,opponent_character,matches,win_rate,avg_damage_differential,avg_damage_ratio,avg_ko_differential,avg_damage_per_minute,avg_damage_taken_per_minute,avg_match_intensity,avg_match_time,avg_gsp
banjo & kazooie,wii fit trainer,2,0.0,-176.5,0.5210365853658536,-2.0,76.30382775119617,146.47527910685807,0.026847421584263648,151.5,15611207.5
captain falcon,cloud,2,0.5,-70.0,0.8523636363636364,1.0,52.86840287652866,65.32523463210498,0.01760248649087875,238.5,15575326.0
captain falcon,joker,2,0.5,-12.0,0.9437941579668881,0.0,60.20638107987505,65.21753681392235,0.01775621002528625,286.5,15312965.0
lucas,donkey kong,2,0.5,19.5,1.1145505374009337,0.0,66.82451958885744,63.69492030388798,0.015462535379115148,259.5,12291946.0
lucas,ganondorf,4,0.75,41.0,1.459603356515805,0.75,65.53361898536912,51.53543577095462,0.0185578078223115,234.25,13346061.25
lucas,mario,3,0.3333333333333333,-82.0,0.7333399660940945,-0.6666666666666666,52.77352482365046,73.12754316104615,0.016466635112340897,243.0,13499424.666666666
lucas,ness,2,0.5,-82.0,0.7389522685549437,-1.0,53.87234042553192,73.2020081281377,0.01625627540043025,251.0,13257129.0
mario,captain falcon,2,0.0,-129.0,0.7010416666666667,-1.5,57.05105212816834,81.33189861310377,0.01412800892714805,320.5,12525657.0
mario,inkling,2,0.5,56.0,1.3240957659562311,0.5,74.31392235609104,60.665997322623824,0.014937527889335101,301.0,12876756.5
mario,ken,2,0.5,-94.5,0.7528651837786519,-0.5,57.93387599236257,77.00432117375138,0.014956620775131449,300.0,12897819.0
mario,mii brawler,2,1.0,90.0,1.7007718924673942,2.0,76.15488753124133,50.04963898916968,0.016236809219661148,242.5,13088579.0
mario,steve,2,0.5,26.0,1.0696088069446505,0.0,68.1766917293233,63.67355889724311,0.0162385129490392,311.0,13069342.0
pit,captain falcon,2,0.5,-46.5,0.8403738201908946,-0.5,97.64070316842691,124.06267370761535,0.027584769316286797,184.5,15210529.0
pit,incineroar,3,0.6666666666666666,-12.666666666666666,1.0008720462502219,0.6666666666666666,127.60614072730796,124.8758980606044,0.03971538919420253,152.66666666666666,15439194.666666666
pit,kirby,2,1.0,26.0,1.1158561785369883,1.5,109.38333333333333,98.43333333333334,0.02490740740740735,183.0,15651465.0
pit,link,2,0.5,-5.0,1.002206141141528,0.5,89.88660275894318,94.11561842412905,0.020623879666432803,230.5,15267688.0
pit,mr game and watch,2,0.5,75.0,1.5648674242424243,1.0,115.67406819984137,94.54996034892942,0.02375759978852755,175.0,15134435.5
pit,steve,2,0.0,-145.5,0.6620990506915456,-1.0,84.34633362547473,130.5594507741747,0.025258058233518302,207.5,15028138.5
toon link,hero,2,0.5,44.5,1.4764957264957268,1.0,69.1383233183595,52.48993640977773,0.0170935184645003,232.0,13093688.5
toon link,ike,3,1.0,77.66666666666667,1.2936108192510873,1.3333333333333333,72.92263308324402,58.8959003215434,0.014988686435631733,266.3333333333333,13226974.666666666
toon link,lucina,2,1.0,59.5,1.2706598984771573,1.0,67.92502179598952,54.236050566695724,0.0185265911072362,272.0,11259216.0
toon link,marth,2,0.5,-25.5,0.9136574074074074,-0.5,58.783035146671516,65.37280900917264,0.0174219719674265,257.5,10881137.5
toon link,ridley,2,0.5,36.5,1.1317689530685922,-0.5,67.86006475769165,60.90021186158377,0.0163293315034177,275.0,12655922.0
