match_id,character,opponent_character,result,kos,falls,sds,match_time,damage_given,damage_taken,gsp,match_time_seconds
37,captain falcon,donkey kong,0,2,3,0,4:27,275,264,15601532,267
38,captain falcon,dr mario,0,2,3,0,5:08,239,438,15474447,308
39,captain falcon,samus,1,3,2,0,5:24,391,339,15601532,324
40,captain falcon,link,1,3,1,0,4:08,229,298,15713535,248
41,captain falcon,snake,1,3,2,0,5:07,296,376,15712535,307
42,captain falcon,sheik,0,0,3,0,3:39,111,369,15601532,219
43,captain falcon,hero,0,2,3,0,5:53,355,471,15474447,353
44,captain falcon,richter,0,2,3,0,5:09,251,430,15346882,309
45,captain falcon,joker,0,2,3,0,4:09,190,290,15166656,249
46,captain falcon,ridley,1,3,2,0,3:55,119,315,15346882,235
47,captain falcon,ness,1,3,2,0,5:43,346,448,15489404,343
48,captain falcon,pit,0,2,3,0,5:23,381,346,15329921,323
49,captain falcon,sora,1,3,2,0,5:15,310,389,15489404,315
50,captain falcon,little mac,0,2,3,0,4:45,217,382,15346882,285
51,captain falcon,kazuya,1,3,2,0,6:22,445,478,15518681,382
52,lucas,donkey kong,1,3,1,0,4:34,371,244,12116342,274
53,lucas,ganondorf,1,3,1,0,3:00,171,129,12552074,180
54,lucas,mario,0,1,3,0,3:58,175,319,12161664,238
55,lucas,captain falcon,1,2,1,0,3:45,261,238,12552812,225
56,lucas,snake,0,2,3,0,5:35,325,442,12161664,335
57,lucas,ganondorf,1,3,2,0,3:56,311,125,12552812,236
58,lucas,megaman,0,1,3,0,4:18,187,373,12161664,258
59,lucas,dark samus,1,3,2,0,5:08,392,284,12552812,308
60,lucas,pit,0,2,3,0,4:40,260,324,12117050,280
61,lucas,ness,1,3,2,0,3:55,187,246,12510302,235
62,lucas,greninja,1,3,0,0,2:08,129,49,12883893,128
63,lucas,mii brawler,1,3,1,0,3:49,286,176,13236438,229
64,lucas,little mac,0,0,3,0,3:08,90,287,12883893,188
65,lucas,donkey kong,0,1,3,0,4:05,214,302,12467550,245
66,lucas,banjo & kazooie,1,3,1,0,4:34,388,226,12883893,274
67,lucas,pacman,1,3,1,0,4:17,324,231,13236438,257
68,lucas,sephiroth,1,3,2,0,4:23,206,319,13637266,263
69,lucas,ganondorf,1,2,1,0,3:12,219,170,13972047,192
70,lucas,marth,1,3,1,0,4:30,368,232,14066914,270
71,lucas,mario,1,3,1,0,4:02,240,266,14364563,242
72,lucas,yoshi,1,3,2,0,5:53,436,390,14608228,353
73,lucas,ganondorf,0,2,3,0,5:29,316,429,14307312,329
74,lucas,ness,0,0,3,0,4:27,267,372,14003956,267
75,lucas,duck hunt,1,3,2,0,5:32,419,338,14307312,332
76,lucas,mario,0,1,3,0,4:09,227,303,13972047,249
77,lucas,lucina,1,3,2,0,4:50,242,373,14278261,290
78,toon link,lucina,1,3,2,0,4:08,280,197,9514166,248
79,toon link,marth,1,3,2,0,4:33,289,270,10386939,273
80,toon link,kirby,1,3,2,0,5:11,348,339,11182330,311
81,toon link,yoshi,1,3,2,0,5:30,435,315,11891115,330
82,toon link,ganondorf,1,3,1,0,4:08,332,195,12553254,248
83,toon link,incineroar,0,2,3,0,6:13,419,473,11891115,373
